indicatore,codice,livello,territorio,anno,valore,unita,fonte,archivio
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sardegna,2025,49.1,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sicilia,2018,47.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sicilia,2019,47.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sicilia,2021,50.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sicilia,2022,51.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sicilia,2023,50.2,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sicilia,2024,52.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Sicilia,2025,53.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Toscana,2018,31.4,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Toscana,2019,32.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Toscana,2021,35.7,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Toscana,2022,36.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Toscana,2023,37.0,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Toscana,2024,38.4,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Toscana,2025,39.3,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Umbria,2018,28.5,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Umbria,2019,29.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Umbria,2021,32.6,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
Competenza alfabetica non adeguata (studenti classi III scuola secondaria primo grado),SDG-311,regione,Umbria,2022,30.2,Valori percentuali,Invalsi - Rilevazioni nazionali sugli apprendimenti,"Benessere equo e sostenibile, aggiornamento intermedio 2026"
